ConvoIndex,MessageIndex,Context,Response
3769.0,0,0,2
3769.0,1,0,1
3769.0,2,0,0
3769.0,3,0,5
3769.0,4,0,0
3769.0,5,0,5
3769.0,6,0,6
3769.0,7,0,0
3769.0,8,0,0
3769.0,9,0,5
3769.0,10,0,1
3769.0,11,0,0
3769.0,12,0,0
3769.0,0,1,0
3769.0,1,1,1
3769.0,2,1,0
3769.0,3,1,5
3769.0,4,1,0
3769.0,5,1,5
3769.0,6,1,6
3769.0,7,1,5
3769.0,8,1,0
3769.0,9,1,5
3769.0,10,1,3
3769.0,11,1,0
3769.0,12,1,0
3769.0,0,2,0
3769.0,1,2,1
3769.0,2,2,0
3769.0,3,2,5
3769.0,4,2,0
3769.0,5,2,5
3769.0,6,2,6
3769.0,7,2,5
3769.0,8,2,0
3769.0,9,2,5
3769.0,10,2,3
3769.0,11,2,0
3769.0,12,2,0
3769.0,0,3,0
3769.0,1,3,1
3769.0,2,3,0
3769.0,3,3,5
3769.0,4,3,0
3769.0,5,3,5
3769.0,6,3,6
3769.0,7,3,5
3769.0,8,3,0
3769.0,9,3,5
3769.0,10,3,6
3769.0,11,3,0
3769.0,12,3,0
3769.0,0,4,0
3769.0,1,4,1
3769.0,2,4,0
3769.0,3,4,5
3769.0,4,4,0
3769.0,5,4,5
3769.0,6,4,6
3769.0,7,4,5
3769.0,8,4,0
3769.0,9,4,5
3769.0,10,4,6
3769.0,11,4,5
3769.0,12,4,0
6666.0,0,0,1
6666.0,1,0,5
6666.0,2,0,1
6666.0,3,0,5
6666.0,4,0,4
6666.0,5,0,5
6666.0,0,1,1
6666.0,1,1,5
6666.0,2,1,1
6666.0,3,1,5
6666.0,4,1,4
6666.0,5,1,5
6666.0,0,2,1
6666.0,1,2,5
6666.0,2,2,1
6666.0,3,2,5
6666.0,4,2,5
6666.0,5,2,5
6666.0,0,3,1
6666.0,1,3,5
6666.0,2,3,1
6666.0,3,3,5
6666.0,4,3,5
6666.0,5,3,5
6666.0,0,4,1
6666.0,1,4,5
6666.0,2,4,1
6666.0,3,4,5
6666.0,4,4,5
6666.0,5,4,5
9023.0,0,0,0
9023.0,1,0,6
9023.0,2,0,5
9023.0,3,0,6
9023.0,4,0,0
9023.0,5,0,5
9023.0,6,0,5
9023.0,7,0,0
9023.0,0,1,0
9023.0,1,1,0
9023.0,2,1,5
9023.0,3,1,6
9023.0,4,1,1
9023.0,5,1,5
9023.0,6,1,0
9023.0,7,1,5
9023.0,0,2,0
9023.0,1,2,0
9023.0,2,2,5
9023.0,3,2,6
9023.0,4,2,2
9023.0,5,2,5
9023.0,6,2,0
9023.0,7,2,5
9023.0,0,3,0
9023.0,1,3,0
9023.0,2,3,5
9023.0,3,3,6
9023.0,4,3,2
9023.0,5,3,5
9023.0,6,3,0
9023.0,7,3,5
9023.0,0,4,0
9023.0,1,4,0
9023.0,2,4,5
9023.0,3,4,6
9023.0,4,4,2
9023.0,5,4,5
9023.0,6,4,0
9023.0,7,4,5
2687.0,0,0,3
2687.0,1,0,6
2687.0,2,0,0
2687.0,3,0,1
2687.0,4,0,5
2687.0,5,0,0
2687.0,6,0,0
2687.0,7,0,6
2687.0,8,0,0
2687.0,9,0,0
2687.0,10,0,0
2687.0,11,0,1
2687.0,12,0,0
2687.0,0,1,5
2687.0,1,1,6
2687.0,2,1,0
2687.0,3,1,1
2687.0,4,1,5
2687.0,5,1,1
2687.0,6,1,0
2687.0,7,1,1
2687.0,8,1,0
2687.0,9,1,1
2687.0,10,1,4
2687.0,11,1,1
2687.0,12,1,6
2687.0,0,2,5
2687.0,1,2,6
2687.0,2,2,0
2687.0,3,2,1
2687.0,4,2,5
2687.0,5,2,1
2687.0,6,2,5
2687.0,7,2,1
2687.0,8,2,0
2687.0,9,2,1
2687.0,10,2,4
2687.0,11,2,1
2687.0,12,2,6
2687.0,0,3,5
2687.0,1,3,6
2687.0,2,3,0
2687.0,3,3,3
2687.0,4,3,5
2687.0,5,3,1
2687.0,6,3,5
2687.0,7,3,1
2687.0,8,3,0
2687.0,9,3,1
2687.0,10,3,0
2687.0,11,3,1
2687.0,12,3,6
2687.0,0,4,5
2687.0,1,4,6
2687.0,2,4,0
2687.0,3,4,3
2687.0,4,4,5
2687.0,5,4,1
2687.0,6,4,5
2687.0,7,4,1
2687.0,8,4,0
2687.0,9,4,1
2687.0,10,4,0
2687.0,11,4,1
2687.0,12,4,6
5990.0,0,0,0
5990.0,1,0,5
5990.0,2,0,6
5990.0,3,0,0
5990.0,4,0,0
5990.0,5,0,5
5990.0,6,0,4
5990.0,7,0,4
5990.0,0,1,0
5990.0,1,1,5
5990.0,2,1,6
5990.0,3,1,5
5990.0,4,1,0
5990.0,5,1,5
5990.0,6,1,4
5990.0,7,1,4
5990.0,0,2,0
5990.0,1,2,5
5990.0,2,2,6
5990.0,3,2,5
5990.0,4,2,0
5990.0,5,2,5
5990.0,6,2,4
5990.0,7,2,4
5990.0,0,3,7
5990.0,1,3,5
5990.0,2,3,6
5990.0,3,3,5
5990.0,4,3,0
5990.0,5,3,5
5990.0,6,3,4
5990.0,7,3,4
5990.0,0,4,7
5990.0,1,4,5
5990.0,2,4,6
5990.0,3,4,5
5990.0,4,4,0
5990.0,5,4,5
5990.0,6,4,0
5990.0,7,4,4
6318.0,0,0,0
6318.0,1,0,0
6318.0,2,0,0
6318.0,3,0,0
6318.0,4,0,0
6318.0,5,0,5
6318.0,6,0,0
6318.0,7,0,4
6318.0,0,1,0
6318.0,1,1,0
6318.0,2,1,0
6318.0,3,1,0
6318.0,4,1,0
6318.0,5,1,5
6318.0,6,1,0
6318.0,7,1,4
6318.0,0,2,0
6318.0,1,2,0
6318.0,2,2,0
6318.0,3,2,0
6318.0,4,2,6
6318.0,5,2,5
