ConvoIndex,MessageIndex,Context,Response
3769.0,0,2,3
3769.0,1,2,1
3769.0,2,2,0
3769.0,3,2,0
3769.0,4,2,0
3769.0,5,2,5
3769.0,6,2,6
3769.0,7,2,5
3769.0,8,2,0
3769.0,9,2,5
3769.0,10,2,3
3769.0,11,2,0
3769.0,12,2,0
6666.0,0,2,1
6666.0,1,2,5
6666.0,2,2,1
6666.0,3,2,5
6666.0,4,2,5
6666.0,5,2,5
9023.0,0,2,0
9023.0,1,2,0
9023.0,2,2,5
9023.0,3,2,6
9023.0,4,2,2
9023.0,5,2,5
9023.0,6,2,0
9023.0,7,2,5
2687.0,0,2,5
2687.0,1,2,6
2687.0,2,2,0
2687.0,3,2,1
2687.0,4,2,5
2687.0,5,2,1
2687.0,6,2,5
2687.0,7,2,1
2687.0,8,2,0
2687.0,9,2,1
2687.0,10,2,0
2687.0,11,2,1
2687.0,12,2,1
5990.0,0,2,5
5990.0,1,2,5
5990.0,2,2,6
5990.0,3,2,5
5990.0,4,2,0
5990.0,5,2,5
5990.0,6,2,4
5990.0,7,2,4
6318.0,0,2,0
6318.0,1,2,0
6318.0,2,2,0
6318.0,3,2,0
6318.0,4,2,6
6318.0,5,2,5
6318.0,6,2,0
6318.0,7,2,4
97.0,0,2,5
97.0,1,2,6
97.0,2,2,3
97.0,3,2,6
97.0,4,2,5
97.0,5,2,1
97.0,6,2,5
97.0,7,2,1
2509.0,0,2,0
2509.0,1,2,3
2509.0,2,2,2
2509.0,3,2,6
2509.0,4,2,3
2509.0,5,2,0
2509.0,6,2,3
2509.0,7,2,6
2883.0,0,2,0
2883.0,1,2,0
2883.0,2,2,0
2883.0,3,2,4
2883.0,4,2,4
2883.0,5,2,0
2883.0,6,2,0
2883.0,7,2,6
2924.0,0,2,6
2924.0,1,2,6
2924.0,2,2,4
2924.0,3,2,1
2924.0,4,2,0
2924.0,5,2,1
2924.0,6,2,4
2924.0,7,2,4
